"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
676440,"Bibee, Tanner","R",2851,114,"51.0",-1.441081468673208,6.177600842,-0.04281306790437232,4.449418399335762
571670,"Floro, Dylan","R",1018,9999,"37.4",-2.1500307527466953,6.024390963,-0.36273365368115446,4.656118883273978
673380,"Núñez, Dedniel","R",494,121,"38.8",-1.7678414573059364,5.436923077,0.0470330197666111,3.9780918514148382
672456,"Montero, Keider","R",1539,116,"43.1",-1.6209038147831618,5.834548408,0.017750412680873608,4.302410320612386
450203,"Morton, Charlie","R",2789,144,"20.8",-2.60315076232314,5.459802797,-0.26122756957080573,4.568925768057468
664854,"Helsley, Ryan","R",908,138,"59.6",-1.0310966071779888,6.116431718,0.16494794665363136,4.078287158511782
669620,"Basso, Brady","L",350,133,"56.0",1.2284809295788128,6.579,-0.09903187089381203,4.611074157626688
656814,"Ortiz, Luis F.","R",10,143,"35.9",-1.8737084788360625,6.053,0.00865077540106952,4.6874518360071304
666142,"Ragans, Cole","L",3118,118,"45.1",1.6507276514618006,6.335323926,-0.028577902901786998,4.64857138874501
676596,"Fleming, Josh","L",530,134,"27.7",2.2840273436790044,5.381754717,0.19152436484713942,4.283024157838091
608718,"Suter, Brent","L",1022,113,"55.6",1.1142917034910162,6.29055773,-0.0578017308168597,4.575350392959181
592094,"Adam, Jason","R",1109,9999,"35.0",-2.054019192321219,6.140216411,-0.08328598703847469,4.760578074464477
571578,"Corbin, Patrick","L",2888,120,"38.5",1.7949492310381978,6.250682133,-0.0634572063514401,4.770926001840555
694037,"Palencia, Daniel","R",263,112,"36.4",-1.6489423508530938,5.452813688,0.0883671841429278,4.172094695105829
669372,"Ginn, J.T.","R",515,133,"41.7",-1.8597728704655732,5.651572816,-0.1415622806015611,4.121028860391462
691172,"Zulueta, Yosver","R",286,113,"28.9",-2.2001443142323494,5.765769231,-0.11231287162035819,4.612723043890158
445926,"Chavez, Jesse","R",1043,144,"21.6",-2.1027543268096913,5.142003835,-0.16095765830432213,4.373605710337821
641582,"Foster, Matt","R",108,145,"50.2",-1.2092808807143622,6.13037037,0.12710032019541825,4.528258128672345
656458,"Gilbreath, Lucas","L",47,115,"45.8",1.4952363817426668,5.741702128,-0.1093785811810217,4.094871267114197
640455,"Manaea, Sean","L",2909,121,"22.7",2.9287942622057885,5.436675834,0.7583778163410742,4.5271958295571775
668942,"Rojas, Josh","R",7,136,"28.9",-2.2532003549337745,5.681428571,-0.2661609880315763,4.578853475935829
607237,"Garrett, Amir","L",104,108,"39.9",1.9078603595280064,6.02875,0.054263249862882224,4.478635014740162
656638,"Lange, Alex","R",377,116,"43.2",-1.5253387607941105,5.748381963,0.18997125302013734,4.137869733849655
605155,"Brewer, Colten","R",391,112,"35.3",-1.9026584511729663,6.027468031,0.03257299168911928,4.656239974515736
676105,"Criswell, Jeff","R",354,115,"33.3",-1.9432645980043302,5.429632768,0.15274498096619243,4.0554532012548234
657044,"Thompson, Ryan","R",977,109,"-5.8",-3.3646424910414336,3.794165814,-0.8818769952216483,4.04788665874836
680891,"Neely, Jack","R",98,112,"34.1",-2.185093150934261,6.121428571,-0.2640764842300556,4.818790107861326
608717,"Stratton, Chris","R",994,118,"35.1",-1.952518398197004,5.854346076,0.022813486892836524,4.46745969596545
669952,"White, Mitch","R",413,9999,"41.0",-1.7235044282308147,6.002300242,0.04459466125433227,4.467224838687403
458681,"Lynn, Lance","R",2038,138,"31.9",-2.576636910056013,5.578954858,-0.549158559823251,4.313939074474462
689981,"Ryan, River","R",295,119,"37.7",-1.8362706887087454,5.594881356,-0.036239960723888964,4.203628579413274
624522,"Thompson, Keegan","R",537,112,"37.8",-1.8072571456233746,5.821824953,-0.030387995797608015,4.4468627037712025
677955,"Hill, Jaden","R",151,115,"23.5",-2.3822224450111746,5.654834437,-0.25323638547532207,4.72717496724156
687134,"Blalock, Bradley","R",551,9999,"62.2",-0.8534214001303788,6.403756806,0.27714946038801597,4.258390229399794
664079,"Jay, Tyler","L",153,9999,"34.9",2.062595155968623,5.453071895,0.3229663317139097,4.238048894947167
607259,"Martinez, Nick","R",2122,113,"58.6",-0.8373672959795044,6.241573987,0.33658885527392307,4.316381573398786
663372,"Feltner, Ryan","R",2577,115,"42.0",-1.7236567941658814,5.536550252,-0.04595534216367609,4.025761687200016
641941,"Pagán, Emilio","R",593,113,"41.5",-1.5727130022612343,5.657403035,0.14857604103729502,4.13469148217619
656730,"Megill, Trevor","R",668,158,"54.7",-1.1810597834824412,6.602080838,0.2646625329554794,4.562165012888665
669199,"Bachar, Lake","R",161,146,"34.5",-2.0137188274455027,5.609254658,-0.060486369725755926,4.267661583131273
663465,"Allard, Kolby","L",436,143,"48.0",1.5964938541207627,5.532706422,0.11484240645799611,3.8815872522445174
666808,"Doval, Camilo","R",1116,137,"19.3",-2.2025106022542373,5.472858423,-0.014432807758163538,4.7058700859799805
543510,"McCann, James","R",2,110,"28.6",-1.871476765196328,6.14,-0.20987794117647057,5.2359720588235295
621097,"Waguespack, Jacob","R",221,139,"69.6",-0.3538027961512621,6.430769231,0.49891231317701934,4.145188691009104
663765,"Woodford, Jake","R",618,9999,"27.4",-2.5275568442047556,5.174967638,-0.48658583349197276,4.11432504283267
